word,reading,pos,sub_pos,len,category,sub_cate
軽い,カルイ,形容詞,,3,状態,軽重
華麗,カレイ,名詞,形容,3,状態,美醜
軽やか,カロヤカ,名詞,形容,4,状態,軽重
かわいい,カワイイ,形容詞,,4,状態,好悪・愛憎
簡易,カンイ,名詞,形容,3,状態,難易・安危
考え,カンガエ,名詞,引用,4,もの・こと,思考・意見・疑い
感覚,カンカク,名詞,サ変接続,4,動き,感覚
環境,カンキョウ,名詞,連体,5,もの・こと,場合
関係,カンケイ,名詞,サ変接続,4,動き,関係
観劇,カンゲキ,名詞,サ変接続,4,動き,見る
韓国,カンコク,名詞,固有 地,4,もの・こと,固有地名
看護婦,カンゴフ,名詞,呼称,4,もの・こと,専門的・技術的職業
関西,カンサイ,名詞,固有 地 組織 人名,4,もの・こと,固有地名
監視,カンシ,名詞,サ変接続,3,動き,見る
感傷,カンショウ,名詞,連体,5,もの・こと,苦悩・悲哀
感じ,カンジ,名詞,引用,3,もの・こと,感覚
感心,カンシン,名詞,サ変接続,4,動き,感動・興奮
肝心,カンジン,名詞,形容,4,状態,意味・問題・趣旨など
肝心要,カンジンカナメ,名詞,形容,7,状態,意味・問題・趣旨など
完成,カンセイ,名詞,サ変接続,4,動き,成立
観戦,カンセン,名詞,サ変接続,4,動き,見る
完全,カンゼン,名詞,形容,4,状態,難易・安危
乾燥,カンソウ,名詞,サ変接続,4,動き,水・乾湿
甲高い,カンダカイ,形容詞,,5,状態,音
簡単,カンタン,名詞,形容,4,状態,弛緩・粗密・繁簡
元旦,ガンタン,名詞,時 連用,4,もの・こと,節・節日
感動,カンドウ,名詞,サ変接続,4,動き,感動・興奮
観念,カンネン,名詞,サ変接続,4,動き,信仰・宗教
カンボジア,カンボジア,名詞,固有 地,5,もの・こと,固有地名
緩慢,カンマン,名詞,形容,4,状態,速度
勧誘,カンユウ,名詞,サ変接続,4,動き,命令・制約・服従
管理,カンリ,名詞,サ変接続,3,動き,運営
関連,カンレン,名詞,サ変接続,4,動き,関係
黄色,キイロ,名詞,形容,3,状態,色
黄色い,キイロイ,形容詞,,4,状態,色
記憶,キオク,名詞,サ変接続,3,動き,学習・習慣・記憶
着替え,キガエ,名詞,サ変接続,3,動き,衣生活
企画,キカク,名詞,サ変接続,3,動き,計画・案
祈願,キガン,名詞,サ変接続,3,動き,欲望・期待・失望
聞き違い,キキチガイ,名詞,引用,5,もの・こと,論理・証明・偽り・誤り・訂正など
聞き違え,キキチガエ,名詞,引用,5,もの・こと,論理・証明・偽り・誤り・訂正など
帰京,キキョウ,名詞,サ変接続,4,動き,往復
危険,キケン,名詞,形容 連体,3,状態,難易・安危
ギザギザ,ギザギザ,名詞,形容,4,状態,模様・目
気さく,キサク,名詞,形容,3,状態,人柄
議事,ギジ,名詞,サ変接続,2,動き,意味・問題・趣旨など
奇跡,キセキ,名詞,連体,3,もの・こと,事柄
帰属,キゾク,名詞,サ変接続,3,動き,連絡・所属
期待,キタイ,名詞,サ変接続 引用,3,動き,欲望・期待・失望
帰宅,キタク,名詞,サ変接続,3,動き,往復
汚い,キタナイ,形容詞,,4,状態,美醜
貴重,キチョウ,名詞,形容,4,状態,経済・収支
きつい,キツイ,形容詞,,3,状態,弛緩・粗密・繁簡
気遣い,キヅカイ,名詞,引用,4,もの・こと,好悪・愛憎
記念,キネン,名詞,サ変接続,3,動き,学習・習慣・記憶
機能,キノウ,名詞,サ変接続,3,動き,作用・変化
昨日,キノウ,名詞,時 連用,3,もの・こと,過去
昨日今日,キノウキョウ,名詞,時 連用,6,もの・こと,過去
気の毒,キノドク,名詞,形容,4,状態,好悪・愛憎
希薄,キハク,名詞,形容,3,状態,材質
忌避,キヒ,名詞,サ変接続,2,動き,防止・妨害・回避
厳しい,キビシイ,形容詞,,4,状態,難易・安危
寄付,キフ,名詞,サ変接続,2,動き,授受
気分的,キブンテキ,名詞,形容,5,状態,口語・IT
希望,キボウ,名詞,サ変接続,3,動き,欲望・期待・失望
基本的,キホンテキ,名詞,形容,5,状態,真偽・是非
気まぐれ,キマグレ,名詞,形容,4,状態,意志
決まり,キマリ,名詞,引用,3,もの・こと,決心・解決・決定・迷い
気持ち悪い,キモチワルイ,形容詞,,6,状態,口語・IT
逆襲,ギャクシュウ,名詞,サ変接続,6,動き,攻防
大逆転,ギャクテン,名詞,サ変接続,5,動き,作用・変化
華奢,キャシャ,名詞,形容,4,状態,力
客観的,キャッカンテキ,名詞,形容,7,状態,意味・問題・趣旨など
キャンセル,キャンセル,名詞,サ変接続,5,動き,除去
キャンプ,キャンプ,名詞,サ変接続,4,動き,教室・兵営など
急,キュウ,名詞,形容,3,状態,難易・安危
急激,キュウゲキ,名詞,形容,5,状態,速度
急死,キュウシ,名詞,サ変接続,4,動き,死
休日,キュウジツ,名詞,時 連用 連体,5,もの・こと,日
九州,キュウシュウ,名詞,固有 地 組織,6,もの・こと,固有地名
求人広告,キュウジンコウコク,名詞,サ変接続,9,動き,口語・IT
急性,キュウセイ,名詞,連体,5,もの・こと,性質
急逝,キュウセイ,名詞,サ変接続,5,動き,死
旧年来,キュウネンライ,名詞,時 連用,7,もの・こと,口語・IT
急変,キュウヘン,名詞,サ変接続,5,動き,作用・変化
救命,キュウメイ,名詞,サ変接続,5,動き,救護・救援
清い,キヨイ,形容詞,,3,状態,美醜
今日,キョウ,名詞,時 連用,3,もの・こと,現在
教育,キョウイク,名詞,サ変接続,5,動き,才能
仰々しい,ギョウギョウシイ,形容詞,,8,状態,言語活動
教唆,キョウサ,名詞,サ変接続,4,動き,命令・制約・服従
凝視,ギョウシ,名詞,サ変接続,4,動き,見る
強制,キョウセイ,名詞,サ変接続,5,動き,命令・制約・服従
矯正,キョウセイ,名詞,サ変接続,5,動き,教育・養成
共存,キョウゾン,名詞,サ変接続,5,動き,成立
共通,キョウツウ,名詞,サ変接続,5,動き,異同・類似
京都,キョウト,名詞,固有 地 組織,4,もの・こと,人物
教諭,キョウユ,名詞,呼称,4,もの・こと,専門的・技術的職業
協力,キョウリョク,名詞,サ変接続,6,動き,協力・参加
強烈,キョウレツ,名詞,形容,5,状態,力
行列,ギョウレツ,名詞,サ変接続,5,動き,配列・排列
許可,キョカ,名詞,サ変接続,3,動き,賛否
巨大,キョダイ,名詞,形容,4,状態,広狭・大小
曲解,キョッカイ,名詞,サ変接続,5,動き,注意・認知・了解
去年,キョネン,名詞,時 連用,4,もの・こと,過去
拒否,キョヒ,名詞,サ変接続,3,動き,賛否
嫌い,キライ,名詞,形容,3,状態,様相・情勢
気楽,キラク,名詞,形容,3,状態,安心・焦燥・満足
きれい,キレイ,名詞,形容,3,状態,調和・混乱
記録,キロク,名詞,サ変接続,3,動き,値・額
禁煙,キンエン,名詞,サ変接続,4,動き,自信・誇り・恥・反省
近所付き合い,キンジョヅキアイ,名詞,サ変接続,8,動き,口語・IT
緊張,キンチョウ,名詞,サ変接続,5,動き,弛緩・粗密・繁簡
均等,キントウ,名詞,形容,4,状態,調和・混乱
近年,キンネン,名詞,時 連用,4,もの・こと,過去
勤務,キンム,名詞,サ変接続,3,動き,労働・作業・休暇
金曜,キンヨウ,名詞,時 連用,4,もの・こと,週・週日
金曜日,キンヨウビ,名詞,時 連用,5,もの・こと,週・週日
悔い,クイ,名詞,引用,2,もの・こと,自信・誇り・恥・反省
大空襲,ダイクウシュウ,名詞,サ変接続,7,動き,口語・IT
空白,クウハク,名詞,連体,4,もの・こと,消滅
クール,クール,名詞,形容,3,状態,寒暖
区画,クカク,名詞,サ変接続,3,動き,範囲・席・跡
釘付け,クギヅケ,名詞,サ変接続,4,動き,接近・接触・隔離
具現化,グゲンカ,名詞,サ変接続,4,動き,口語・IT
臭い,クサイ,形容詞,,3,状態,詳細・正確・不思議
駆除,クジョ,名詞,サ変接続,3,動き,除去
苦笑,クショウ,名詞,サ変接続,4,動き,表情・態度
具体的,グタイテキ,名詞,形容,5,状態,存在
件,クダン,名詞,形容 連体,3,状態,事柄
口うるさい,クチウルサイ,形容詞,,6,状態,言語活動
口調,クチョウ,名詞,連体,4,もの・こと,趣・調子
屈折,クッセツ,名詞,サ変接続,4,動き,成形・変形
区分,クブン,名詞,サ変接続,3,動き,比較・参考・区別・選択
区別,クベツ,名詞,サ変接続,3,動き,異同・類似
熊本,クマモト,名詞,固有 地 組織 人名,4,もの・こと,口語・IT
暗い,クライ,形容詞,,3,状態,光
クリスチャン,クリスチャン,名詞,連体,6,もの・こと,人物
車,クルマ,名詞,形容,3,状態,輪・車・棒・管など
暮れ,クレ,名詞,時 連用,2,もの・こと,節・節日
グレイ,グレイ,名詞,形容,3,状態,口語・IT
黒い,クロイ,形容詞,,3,状態,色
クローズアップ,クローズアップ,名詞,サ変接続,7,動き,練り・塗り・撃ち・録音・撮影
詳しい,クワシイ,形容詞,,4,状態,詳細・正確・不思議
ケア,ケア,名詞,サ変接続,2,動き,救護・救援
経過,ケイカ,名詞,サ変接続,3,動き,進行・過程・経由
警戒,ケイカイ,名詞,サ変接続,4,動き,注意・認知・了解
経験,ケイケン,名詞,サ変接続,4,動き,学習・習慣・記憶
経験豊富,ケイケンホウフ,名詞,形容,7,状態,口語・IT
掲載,ケイサイ,名詞,サ変接続,4,動き,出版・放送
計算,ケイサン,名詞,サ変接続,4,動き,測定・計算
刑事,ケイジ,名詞,呼称,3,もの・こと,保安サービス
掲示,ケイジ,名詞,サ変接続,3,動き,固定・傾き・転倒など
軽躁,ケイソウ,名詞,形容,4,状態,人柄
形態,ケイタイ,名詞,連体,4,もの・こと,形・型・姿・構え
携帯,ケイタイ,名詞,サ変接続,4,動き,手足の動作
契約,ケイヤク,名詞,サ変接続,4,動き,約束
外科,ゲカ,名詞,連体,2,もの・こと,医療
劇,ゲキ,名詞,連体,2,もの・こと,演劇・映画
今朝,ケサ,名詞,時 連用,2,もの・こと,現在
化粧,ケショウ,名詞,サ変接続,4,動き,保健・衛生
気だるい,ケダルイ,形容詞,,4,状態,飢渇・酔い・疲労・睡眠など
血液型,ケツエキガタ,名詞,連体,6,もの・こと,類・例
結果,ケッカ,名詞,連用,3,もの・こと,因果
月刊,ゲッカン,名詞,連体,4,もの・こと,出版・放送
欠勤,ケッキン,名詞,サ変接続,4,動き,労働・作業・休暇
結構,ケッコウ,名詞,形容,4,状態,内容・構成
結婚,ケッコン,名詞,サ変接続,4,動き,冠婚
欠損,ケッソン,名詞,サ変接続,4,動き,破壊
結末,ケツマツ,名詞,時 連用,4,もの・こと,因果
月曜日,ゲツヨウビ,名詞,時 連用,5,もの・こと,週・週日
決裂,ケツレツ,名詞,サ変接続,4,動き,分割・分裂・分散
結論,ケツロン,名詞,サ変接続,4,動き,決心・解決・決定・迷い
懸念,ケネン,名詞,サ変接続,3,動き,安心・焦燥・満足
下痢,ゲリ,名詞,サ変接続,2,動き,病気・体調
権威,ケンイ,名詞,連体,3,もの・こと,人物
現役,ゲンエキ,名詞,連体,4,もの・こと,相対的地位
喧嘩,ケンカ,名詞,サ変接続,3,動き,政治的区画
限界,ゲンカイ,名詞,連体,4,もの・こと,境・間
見学,ケンガク,名詞,サ変接続,4,動き,学習・習慣・記憶
元気,ゲンキ,名詞,形容,3,状態,心
研究,ケンキュウ,名詞,サ変接続,5,動き,研究・試験・調査・検査など
健康,ケンコウ,名詞,形容 連体,4,状態,病気・体調
健康診断,ケンコウシンダン,名詞,サ変接続,8,動き,医療
検査,ケンサ,名詞,サ変接続,3,動き,研究・試験・調査・検査など
再検査,サイケンサ,名詞,サ変接続,5,動き,口語・IT
現在,ゲンザイ,名詞,時 連用,4,もの・こと,現在
現実,ゲンジツ,名詞,連体,4,もの・こと,真偽・是非
現実離れ,ゲンジツバナレ,名詞,サ変接続,7,動き,口語・IT
厳粛,ゲンシュク,名詞,形容,5,状態,人生・禍福
現状,ゲンジョウ,名詞,連体,5,もの・こと,様相・情勢
現状維持,ゲンジョウイジ,名詞,サ変接続,7,動き,保存
検診,ケンシン,名詞,サ変接続,4,動き,医療
幻想,ゲンソウ,名詞,サ変接続,4,動き,判断・推測・評価
献体,ケンタイ,名詞,サ変接続,4,動き,授受
現代,ゲンダイ,名詞,時 連用 連体,4,もの・こと,時代
検定,ケンテイ,名詞,サ変接続,4,動き,研究・試験・調査・検査など
限定,ゲンテイ,名詞,サ変接続,4,動き,限定・優劣
見当,ケントウ,名詞,サ変接続,4,動き,判断・推測・評価
懸命,ケンメイ,名詞,形容,4,状態,信念・努力・忍耐
濃い,コイ,形容詞,,2,状態,弛緩・粗密・繁簡
高圧,コウアツ,名詞,連体,4,もの・こと,弾力・動力・圧力など
講演,コウエン,名詞,サ変接続,4,動き,話・談話
高価,コウカ,名詞,形容,3,状態,価格・費用
豪華,ゴウカ,名詞,形容,3,状態,文化・歴史・風俗
後悔,コウカイ,名詞,サ変接続,4,動き,自信・誇り・恥・反省
公開,コウカイ,名詞,サ変接続,4,動き,伝達・報知
合格,ゴウカク,名詞,サ変接続,4,動き,調和・混乱
交換,コウカン,名詞,サ変接続,4,動き,変換・交換
攻撃,コウゲキ,名詞,サ変接続,4,動き,批評・弁解
講師,コウシ,名詞,呼称,3,もの・こと,専門的・技術的職業
工事,コウジ,名詞,サ変接続,3,動き,建設・土木
講習,コウシュウ,名詞,サ変接続,5,動き,学習・習慣・記憶
高周波,コウシュウハ,名詞,連体,6,もの・こと,エネルギー
交渉,コウショウ,名詞,サ変接続,5,動き,交わり
校正,コウセイ,名詞,サ変接続,4,動き,作用・変化
構成,コウセイ,名詞,サ変接続,4,動き,成立
高速,コウソク,名詞,形容 連体,4,状態,速度
後続,コウゾク,名詞,サ変接続,4,動き,連続・反復
硬直,コウチョク,名詞,サ変接続,5,動き,作用・変化
高度,コウド,名詞,形容,3,状態,長短・高低・深浅・厚薄・遠近
行動,コウドウ,名詞,サ変接続,4,動き,行為・活動
後半,コウハン,名詞,時 連用 連体,4,もの・こと,順序
広範囲,コウハンイ,名詞,形容,5,状態,範囲・席・跡
後部,コウブ,名詞,連体,3,もの・こと,左右・前後・たてよこ
興奮,コウフン,名詞,サ変接続,4,動き,感動・興奮
神戸,コウベ,名詞,固有 地 組織 姓,3,もの・こと,頭・目鼻・顔
後方,コウホウ,名詞,連体,4,もの・こと,左右・前後・たてよこ
巧妙,コウミョウ,名詞,形容,5,状態,才能
拷問,ゴウモン,名詞,サ変接続,4,動き,問答
公約,コウヤク,名詞,サ変接続,4,動き,約束
紅葉,コウヨウ,名詞,サ変接続,4,動き,木本
公立,コウリツ,名詞,連体,4,もの・こと,成立
合理的,ゴウリテキ,名詞,形容,5,状態,意味・問題・趣旨など
合流,ゴウリュウ,名詞,サ変接続,5,動き,合体・出会い・集合など
高齢化,コウレイカ,名詞,サ変接続,5,動き,口語・IT
呼応,コオウ,名詞,サ変接続,3,動き,相対
コーディネート,コーディネート,名詞,サ変接続,7,動き,調節
誤解,ゴカイ,名詞,サ変接続,3,動き,注意・認知・了解
小柄,コガラ,名詞,形容,3,状態,模様・目
小気味よい,コキミヨイ,形容詞,,5,状態,快・喜び
呼吸,コキュウ,名詞,サ変接続,4,動き,趣・調子
酷,コク,名詞,形容,2,状態,待遇・礼など
酷使,コクシ,名詞,サ変接続,3,動き,人事
国粋,コクスイ,名詞,連体,4,もの・こと,特徴
告白,コクハク,名詞,サ変接続,4,動き,報告・申告
午後,ゴゴ,名詞,時 連用,2,もの・こと,朝晩
心地良い,ココチヨイ,形容詞,,5,状態,快・喜び
心得,ココロエ,名詞,引用,4,もの・こと,注意・認知・了解
快い,ココロヨイ,形容詞,,5,状態,快・喜び
後日,ゴジツ,名詞,時 連用,3,もの・こと,未来
故障,コショウ,名詞,サ変接続,4,動き,支障・損じ・荒廃
誤診,ゴシン,名詞,サ変接続,3,動き,医療
個性,コセイ,名詞,連体,3,もの・こと,性質
午前中,ゴゼンチュウ,名詞,連用,6,もの・こと,朝晩
こそばゆい,コソバユイ,形容詞,,5,状態,感覚
答え,コタエ,名詞,引用,3,もの・こと,問答
小高い,コダカイ,形容詞,,4,状態,長短・高低・深浅・厚薄・遠近
ごちそう,ゴチソウ,名詞,サ変接続,4,動き,食生活
ごたまぜ,ゴチャマゼ,名詞,形容,5,状態,調和・混乱
国家,コッカ,名詞,連体,3,もの・こと,国
滑稽,コッケイ,名詞,形容,4,状態,説・論・主義
固定,コテイ,名詞,サ変接続,3,動き,固定・傾き・転倒など
孤独,コドク,名詞,形容,3,状態,一般・全体・部分
今年,コトシ,名詞,時 連用,3,もの・こと,現在
子どもっぽい,コドモッポイ,形容詞,,6,状態,才能
こないだ,コナイダ,名詞,時 連用,4,もの・こと,過去
この先,コノサキ,名詞,連用 指示,4,もの・こと,口語・IT
この時,コノトキ,名詞,時 連用 指示,4,もの・こと,口語・IT
このへん,コノヘン,名詞,連用 指示,4,もの・こと,空間・場所
このまま,コノママ,名詞,連用 指示,4,もの・こと,こそあど・他
小振り,コブリ,名詞,形容,3,状態,広狭・大小
個別,コベツ,名詞,連体,3,もの・こと,一般・全体・部分
細かい,コマカイ,形容詞,,4,状態,弛緩・粗密・繁簡
ごめん,ゴメン,名詞,形容,3,状態,好悪・愛憎
コメント,コメント,名詞,サ変接続 引用,4,動き,批評・弁解
顧問,コモン,名詞,呼称,3,もの・こと,その他の仕手
古来,コライ,名詞,連用,3,もの・こと,過去
ご覧,ゴラン,名詞,サ変接続,3,動き,見る
これから,コレカラ,名詞,時 連用 指示,4,もの・こと,未来
怖い,コワイ,形容詞,,3,状態,力
懇意,コンイ,名詞,形容,3,状態,好悪・愛憎
今回,コンカイ,名詞,時 連用,4,もの・こと,現在
今後,コンゴ,名詞,時 連用,3,もの・こと,未来
今週中,コンシュウチュウ,名詞,時 連用,8,もの・こと,口語・IT
根性,コンジョウ,名詞,連体,5,もの・こと,心
根治,コンチ,名詞,サ変接続,3,動き,病気・体調
今度,コンド,名詞,時 連用,3,もの・こと,現在
混同,コンドウ,名詞,サ変接続,4,動き,比較・参考・区別・選択
コントロール,コントロール,名詞,サ変接続,6,動き,スポーツ
今夜,コンヤ,名詞,時 連用,3,もの・こと,現在
混乱,コンラン,名詞,サ変接続,4,動き,調和・混乱
困惑,コンワク,名詞,サ変接続,4,動き,苦悩・悲哀
サービス,サービス,名詞,サ変接続,4,動き,増減・補充
最悪,サイアク,名詞,形容,4,状態,良不良・適不適
再会,サイカイ,名詞,サ変接続,4,動き,応接・送迎
再開,サイカイ,名詞,サ変接続,4,動き,開始
最近,サイキン,名詞,時 連用,4,もの・こと,過去
細工,サイク,名詞,サ変接続,3,動き,芸術・美術
最期,サイゴ,名詞,時 連用 連体,3,もの・こと,終始
最後,サイゴ,名詞,時 連用 連体,3,もの・こと,終始
最終的,サイシュウテキ,名詞,形容,7,状態,口語・IT
最初,サイショ,名詞,時 連用 連体,4,もの・こと,終始
再生,サイセイ,名詞,サ変接続,4,動き,発生・復活
最前,サイゼン,名詞,時 連用,4,もの・こと,過去
最大,サイダイ,名詞,連体,4,もの・こと,広狭・大小
在宅,ザイタク,名詞,サ変接続,4,動き,存在
最中,サイチュウ,名詞,時 連用,5,もの・こと,途中・盛り
最低,サイテイ,名詞,形容 連体,4,状態,長短・高低・深浅・厚薄・遠近
採点,サイテン,名詞,サ変接続,4,動き,判断・推測・評価
再度,サイド,名詞,時 連用,3,もの・こと,毎日・毎度
栽培,サイバイ,名詞,サ変接続,4,動き,農業・林業
採用,サイヨウ,名詞,サ変接続,4,動き,比較・参考・区別・選択
幸い,サイワイ,名詞,サ変接続,4,動き,人生・禍福
サイン,サイン,名詞,サ変接続,3,動き,和・差・比・率など
先駆け,サキガケ,名詞,サ変接続,4,動き,連れ・導き・追い・逃げなど
先々,サキザキ,名詞,時 連用,4,もの・こと,未来
作業,サギョウ,名詞,サ変接続,4,動き,労働・作業・休暇
搾取,サクシュ,名詞,サ変接続,4,動き,取得
作成,サクセイ,名詞,サ変接続,4,動き,成立
昨年,サクネン,名詞,時 連用,4,もの・こと,過去
昨年あたり,サクネンアタリ,名詞,時 連用,7,もの・こと,口語・IT
昨夜,サクヤ,名詞,時 連用,3,もの・こと,過去
昨夜中,サクヤチュウ,名詞,時 連用,6,もの・こと,口語・IT
雑魚寝,ザコネ,名詞,サ変接続,3,動き,生活・起臥
雑,ザツ,名詞,形容,2,状態,調和・混乱
撮影,サツエイ,名詞,サ変接続,4,動き,練り・塗り・撃ち・録音・撮影
作家,サッカ,名詞,呼称,3,もの・こと,専門的・技術的職業
錯覚,サッカク,名詞,サ変接続,4,動き,感覚
さっき,サッキ,名詞,時 連用,3,もの・こと,過去
昨今,サッコン,名詞,時 連用,4,もの・こと,現在
雑種,ザッシュ,名詞,連体,4,もの・こと,等級・系列
様々,サマザマ,名詞,形容 連用,4,状態,弛緩・粗密・繁簡
寒い,サムイ,形容詞,,3,状態,寒暖
左右,サユウ,名詞,サ変接続,3,動き,左右・前後・たてよこ
再来年,サライネン,名詞,時 連用,5,もの・こと,未来
騒がしい,サワガシイ,形容詞,,5,状態,人生・禍福
騒ぎ,サワギ,名詞,引用,3,もの・こと,事柄
爽か,サワヤカ,名詞,形容,4,状態,快・喜び
参加,サンカ,名詞,サ変接続,3,動き,出欠
散見,サンケン,名詞,サ変接続,4,動き,見る
惨憺,サンタン,名詞,形容,4,状態,恐れ・怒り・悔しさ
三度目,サンドメ,名詞,連用,4,もの・こと,口語・IT
散歩,サンポ,名詞,サ変接続,3,動き,旅・行楽
散漫,サンマン,名詞,形容,4,状態,心
参列,サンレツ,名詞,サ変接続,4,動き,出欠
試合,シアイ,名詞,サ変接続,3,動き,スポーツ
指圧,シアツ,名詞,サ変接続,3,動き,医療
幸せ,シアワセ,名詞,形容,4,状態,人生・禍福
支援,シエン,名詞,サ変接続,3,動き,救護・救援
しかたがない,シカタ,形容詞,,3,状態,方法
刺激,シゲキ,名詞,サ変接続,3,動き,感覚
試験,シケン,名詞,サ変接続,3,動き,研究・試験・調査・検査など
私語,シゴ,名詞,サ変接続,2,動き,話・談話
仕事,シゴト,名詞,サ変接続,3,動き,労働・作業・休暇
持参,ジサン,名詞,サ変接続,3,動き,往復
指示,シジ,名詞,サ変接続,2,動き,見せる
静か,シズカ,名詞,形容,3,状態,音
システマチック,システマチック,名詞,形容,7,状態,口語・IT
施設,シセツ,名詞,サ変接続,3,動き,店・旅館・病院・劇場など
自然,シゼン,名詞,形容 連体,3,状態,自然
次第,シダイ,名詞,連用,3,もの・こと,様相・情勢
時代,ジダイ,名詞,時 連用,3,もの・こと,時代
下書き,シタガキ,名詞,サ変接続,4,動き,書き
支度,シタク,名詞,サ変接続,3,動き,計画・案
親しい,シタシイ,形容詞,,4,状態,好悪・愛憎
したたか,シタタカ,名詞,形容,4,状態,程度
下っ端,シタッパ,名詞,連体,4,もの・こと,相対的地位
実感,ジッカン,名詞,サ変接続,4,動き,感覚
実況,ジッキョウ,名詞,サ変接続,5,動き,様相・情勢
失禁,シッキン,名詞,サ変接続,4,動き,生理
実験,ジッケン,名詞,サ変接続,4,動き,研究・試験・調査・検査など
しつこい,シツコイ,形容詞,,4,状態,信念・努力・忍耐
実際,ジッサイ,名詞,連体,4,もの・こと,真偽・是非
実証,ジッショウ,名詞,サ変接続,5,動き,論理・証明・偽り・誤り・訂正など
失神,シッシン,名詞,サ変接続,4,動き,感動・興奮
失明,シツメイ,名詞,サ変接続,4,動き,障害・けが
質問,シツモン,名詞,サ変接続,4,動き,問答
指定,シテイ,名詞,サ変接続,3,動き,決心・解決・決定・迷い
指摘,シテキ,名詞,サ変接続 引用,3,動き,見せる
四の五の,シノゴノ,名詞,連用,4,もの・こと,言語活動
支配,シハイ,名詞,サ変接続,3,動き,支配・政治
市販,シハン,名詞,サ変接続,3,動き,売買
自費出版,ジヒシュッパン,名詞,サ変接続,7,動き,口語・IT
渋い,シブイ,形容詞,,3,状態,快・喜び
死亡,シボウ,名詞,サ変接続,3,動き,死
地味,ジミ,名詞,形容,2,状態,地
指名,シメイ,名詞,サ変接続,3,動き,人事
死滅,シメツ,名詞,サ変接続,3,動き,消滅
自問自答,ジモンジトウ,名詞,サ変接続,6,動き,問答
社員,シャイン,名詞,呼称,4,もの・こと,成員・職
射撃,シャゲキ,名詞,サ変接続,4,動き,練り・塗り・撃ち・録音・撮影
社長,シャチョウ,名詞,呼称,5,もの・こと,長
邪魔,ジャマ,名詞,サ変接続,3,動き,防止・妨害・回避
自由,ジユウ,名詞,形容 連体,3,状態,作用・変化
秀逸,シュウイツ,名詞,形容,5,状態,限定・優劣
収穫,シュウカク,名詞,サ変接続,5,動き,取得
週刊,シュウカン,名詞,連体,5,もの・こと,出版・放送
宗教,シュウキョウ,名詞,連体,6,もの・こと,信仰・宗教
集計,シュウケイ,名詞,サ変接続,5,動き,測定・計算
ジューシー,ジューシー,名詞,形容,5,状態,水・乾湿
週日,シュウジツ,名詞,時 連用,5,もの・こと,週・週日
充実,ジュウジツ,名詞,サ変接続,5,動き,増減・補充
収縮,シュウシュク,名詞,サ変接続,6,動き,伸縮
就職,シュウショク,名詞,サ変接続,6,動き,処世・出処進退
住職,ジュウショク,名詞,呼称,6,もの・こと,専門的・技術的職業
終戦,シュウセン,名詞,サ変接続,5,動き,終了・中止・停止
修繕,シュウゼン,名詞,サ変接続,5,動き,技術・設備・修理
執着,シュウチャク,名詞,サ変接続,6,動き,欲望・期待・失望
集中,シュウチュウ,名詞,サ変接続,6,動き,合体・出会い・集合など
週半ば,シュウナカバ,名詞,時 連用,6,もの・こと,口語・IT
修復,シュウフク,名詞,サ変接続,5,動き,発生・復活
十分前,ジュウブンマエ,名詞,連用,7,もの・こと,口語・IT
週末,シュウマツ,名詞,時 連用,5,もの・こと,週・週日
充満,ジュウマン,名詞,サ変接続,5,動き,増減・補充
修理,シュウリ,名詞,サ変接続,4,動き,技術・設備・修理
授業,ジュギョウ,名詞,サ変接続,5,動き,学習・習慣・記憶
熟睡,ジュクスイ,名詞,サ変接続,5,動き,飢渇・酔い・疲労・睡眠など
宿直,シュクチョク,名詞,サ変接続,6,動き,その他の仕手
主催,シュサイ,名詞,サ変接続,4,動き,興行
取材,シュザイ,名詞,サ変接続,4,動き,比較・参考・区別・選択
手術,シュジュツ,名詞,サ変接続,5,動き,医療
主人,シュジン,名詞,連体,4,もの・こと,夫婦
受注,ジュチュウ,名詞,サ変接続,5,動き,取引
主張,シュチョウ,名詞,サ変接続 引用,5,動き,説・論・主義
出棺,シュッカン,名詞,サ変接続,5,動き,移動・発着
出勤,シュッキン,名詞,サ変接続,5,動き,往復
出社,シュッシャ,名詞,サ変接続,5,動き,往復
出征,シュッセイ,名詞,サ変接続,5,動き,学事・兵事
出発,シュッパツ,名詞,サ変接続,5,動き,移動・発着
主役,シュヤク,名詞,連体,4,もの・こと,その他の仕手
主要,シュヨウ,名詞,形容,4,状態,本体・代理
主流,シュリュウ,名詞,連体,5,もの・こと,本体・代理
瞬間,シュンカン,名詞,時 連用,5,もの・こと,時間
巡業,ジュンギョウ,名詞,サ変接続,6,動き,巡回など
純粋,ジュンスイ,名詞,形容,5,状態,弛緩・粗密・繁簡
準備,ジュンビ,名詞,サ変接続,4,動き,計画・案
使用,シヨウ,名詞,サ変接続,3,動き,扱い・操作・使用
上位,ジョウイ,名詞,連体,4,もの・こと,場合
紹介,ショウカイ,名詞,サ変接続,5,動き,仲介
障害,ショウガイ,名詞,連体,5,もの・こと,支障・損じ・荒廃
少額,ショウガク,名詞,形容 連体,5,状態,多少
正月,ショウガツ,名詞,時 連用 連体,5,もの・こと,月
正月明け,ショウガツアケ,名詞,時 連用,7,もの・こと,口語・IT
しょうがない,ショウガナイ,形容詞,,6,状態,必然性
正気,ショウキ,名詞,形容,4,状態,心
上京,ジョウキョウ,名詞,サ変接続,6,動き,移動・発着
上下,ジョウゲ,名詞,サ変接続,4,動き,往復
